status,city,year,state,total_tract_income,total_households_with_income,percent_householdsbelow50k_of_total,total_households_income_below_50k,total_households_income_50k_and_100k,total_households_income_100k_plus,bucket_annual_income_household,median_annual_income_individual,total_housing_units,occupied_housing_units,vacant_housing_units,median_monthly_housing_costs,total_households,total_rent_burden_normal,total_rent_burden_moderate,total_rent_burden_severe,percent_rent_burden_normal,percent_rent_burden_moderate,percent_rent_burden_severe,median_gross_rent_burden,avg_household_size,total_population,total_25_and_older,total_highest_not_graduate_hs,total_highest_graduate_hs,total_highest_college_degree,percent_graduate_hs,percent_no_college_degree,percent_college_degree,total_3_to_24,total_enrolled_pre_college,total_enrolled_higher_education,total_not_enrolled,total_employable,total_employed,complete_plumbing_occupied_housing,lacking_plumbing_occupied_housing,total_all_races,total_white_non_hispanic,total_african_american,total_native_american,total_asian,total_hispanic,total_other,percent_african_american,percent_native_american,percent_hispanic,percent_urm,total_all_ages,total_0_4,total_5_17,total_18_24,total_25_39,total_40_54,total_55_64,total_65_plus,percent_0_4,percent_5_17,percent_18_24,percent_children,percent_youth,percent_elderly
banked,Kent City,2019,MI,1.32E+08,1682,37.81212842,636,653,393,67885,27769,1751,1682,69,943,297,122,32,61,41.07744108,10.77441077,20.53872054,27.7,3.22,5452,3412,472,2023,917,86.16647128,73.12426729,26.87573271,1839,1148,71,620,4058,2693,1669,13,5452,4615,108,0,1,517,211,1.980924431,0,9.482758621,11.46368305,5452,460,1104,476,1185,920,650,657,8.437270726,20.24944974,8.730741012,28.68672047,37.41746148,12.05062362
banked,Brusly,2019,LA,2.51E+08,2550,25.64705882,654,767,1129,85735,42682,2829,2550,279,1080,376,151,114,83,40.15957447,30.31914894,22.07446809,35.9,2.92,7459,4570,128,2698,1744,97.19912473,61.8380744,38.1619256,2534,1819,179,536,5405,3973,2550,0,7459,4891,2348,21,16,21,162,31.4787505,0.2815390803,0.2815390803,32.04182866,7459,558,1679,652,1807,1250,802,711,7.480895562,22.5097198,8.741118112,29.99061536,38.73173348,9.532108862
banked,Benezette,2019,PA,5.60E+07,982,48.3706721,475,367,140,52000,27165,2024,982,1042,577,171,68,16,19,39.76608187,9.356725146,11.11111111,26.7,2.22,2177,1631,136,1066,429,91.66155733,73.69711833,26.30288167,491,330,13,148,1826,1044,982,0,2177,2130,0,0,39,0,8,0,0,0,0,2177,101,306,139,275,379,431,546,4.639412035,14.05604042,6.384933395,18.69545246,25.08038585,25.08038585
banked,Abbeville,2019,SC,3.42E+08,5972,62.3074347,3721,1389,862,110771,68445,7584,5972,1612,1719,1439,560,278,356,38.91591383,19.31897151,24.73940236,105.9,7.26,14579,10421,1898,5365,3158,81.7867767,69.69580654,30.30419346,3676,2373,222,1081,11806,6449,5942,30,14579,9727,4530,15,0,130,177,31.07208999,0.1028877152,0.8916935318,32.06667124,14579,797,2235,1126,2171,3027,1945,3278,5.466767268,15.33026957,7.723437822,20.79703683,28.52047466,22.48439536
banked,Keystone Heights,2019,FL,2.52E+08,4046,54.1769649,2192,1337,517,143859,76669,4989,4046,943,2343,697,270,202,149,38.7374462,28.98134864,21.37733142,129.5,7.79,11148,7721,927,4723,2071,87.99378319,73.1770496,26.8229504,2905,1805,195,905,8935,4956,4046,0,11148,10247,24,2,64,388,423,0.215285253,0.01794043775,3.480444923,3.713670614,11148,918,1619,890,1999,1803,1833,2086,8.234660926,14.52278436,7.983494797,22.75744528,30.74094008,18.71187657
banked,Markleysburg,2019,PA,6.62E+07,1111,49.8649865,554,396,161,50341,22556,1766,1111,655,631,237,90,51,42,37.97468354,21.51898734,17.72151899,30.3,2.22,2651,2040,371,1280,389,81.81372549,80.93137255,19.06862745,527,314,57,156,2277,1200,1097,14,2651,2509,21,0,0,71,50,0.7921539042,0,2.678234628,3.470388533,2651,100,329,182,333,561,462,684,3.772161449,12.41041117,6.865333836,16.18257261,23.04790645,25.80158431
banked,Georgetown,2019,GA,4.27E+07,842,67.4584323,568,205,69,26667,18741,1956,842,1114,625,251,95,16,80,37.84860558,6.374501992,31.87250996,40.3,2.72,2289,1755,620,958,177,64.67236467,89.91452991,10.08547009,433,339,17,77,1871,875,842,0,2289,848,1188,0,168,17,68,51.90039318,0,0.7426823941,52.64307558,2289,163,291,80,522,250,413,570,7.121013543,12.7129751,3.494975972,19.83398864,23.32896461,24.9017038
banked,Laurel,2019,MS,1.03E+09,16513,60.97014473,10068,4214,2231,354209,206277,19580,16513,3067,5195,5288,1976,1475,1235,37.36762481,27.89334342,23.35476551,270.5,23.98,44696,29727,4762,16237,8728,83.98089279,70.63948599,29.36051401,13163,8896,754,3513,34263,19610,16355,158,44696,24866,16944,154,199,1744,789,37.90943261,0.3445498479,3.90191516,42.15589762,44696,3043,8604,3322,8950,7477,5846,7454,6.8082155,19.25004475,7.432432432,26.05826025,33.49069268,16.67710757
banked,Malden,2019,MO,9.40E+07,2058,66.22934888,1363,533,162,69028,42321,2442,2058,384,1190,822,306,145,229,37.22627737,17.63990268,27.85888078,80.7,4.88,5121,3154,599,1874,681,81.0082435,78.40837032,21.59162968,1708,1165,113,430,3881,2161,2058,0,5121,3887,1168,9,0,31,26,22.8080453,0.1757469244,0.6053505175,23.58914275,5121,381,1030,556,667,912,670,905,7.439953134,20.11325913,10.85725444,27.55321226,38.41046671,17.67232962
banked,Camp Verde,2019,AZ,2.13E+08,3527,60.75985257,2143,972,412,85471,41537,3840,3527,313,1242,833,308,176,207,36.97478992,21.12845138,24.84993998,66,5.61,10597,7363,1229,4392,1742,83.30843406,76.34116529,23.65883471,2842,1990,57,795,8288,3863,3519,8,10597,6558,56,980,9,1861,1133,0.5284514485,9.247900349,17.56157403,27.33792583,10597,578,2016,640,2103,1900,1178,2182,5.454373879,19.02425215,6.039445126,24.47862603,30.51807115,20.59073323
